Output.Type,Output,Answer.Type,Choices,Correct.Answer,Hint,Figure,Figure.Type,Video,Notes,,,,,
question,Store the value '100' in a new variable called 'y'.,command,,y <- 100,Use the same syntax that we just introduced. Example: 'x <- 5'. Notice there's a space before and after the assignment operator.,,,,,,,,,
text,"Besides storing a single number in a variable, you can also store text, vectors, matrices, and even whole data sets, which R users call DATA FRAMES. Once you've stored something in a variable, you can then use that variable by name when performing other operations.",,,,,,,,,,,,,
text,"Each column of a data frame contains the data for one variable. In order to access the values for one particular variable in R, we use the syntax 'data.set.name$variable.name'. A dollar sign is placed after the data set name and before the variable name with no spaces. For example, say we wanted to access the data for the variable 'fruits' from the data set 'foods'. In R, we would do this by typing 'foods$fruits'.",,,,,,,,,,,,,
question,"Let's see if you can do this on your own. Type in the command to access the data for the variable called 'type' from the data set called 'cars'. We'll be working with the 'cars' data set quite a bit later in the lesson, but for now don't worry too much about the output you'll see.",command,,cars$type,"Type your data set name and then a dollar sign, '$', and finally the variable name with no spaces in between.",,,,,,,,,
text,"R has many BUILT-IN FUNCTIONS that you can use to perform analysis. As we progress through our lessons, I will introduce many of these functions to you as they become relevant. To use a particular function, the syntax is usually something like 'FunctionName(variable)'. Some more advanced functions require more information from you in the form of ARGUMENTS, which are just additional inputs placed inside of the parentheses.",,,,,,,,,,,,,
text,Let's try a very simple function on the variable 'y' that you just created above.,,,,,,,,,,,,,
question,"Since you stored the value 100 in the variable 'y', type 'sqrt(y)' to get the square root of 100.",command,,sqrt(y),Type 'sqrt(y)' without quotes and press 'enter'.,,,,,,,,,
question,"Now use the same function, but this time try storing your result in a new variable 'z' using the assignment operator that you just learned about.",command,,z <- sqrt(y),Assign 'sqrt(y)' to z.,,,,,,,,,
text,"If you ever find yourself unsure about how a particular function works, you can tap into R's help files for answers. The syntax for doing so is 'help(FunctionName)' or more simply just '?FunctionName' with no space between the '?' and the 'FunctionName'. If, instead, you are not sure of the function you are looking for, you can perform a general search through all of R's built-in functions using 'help.search(term_of_interest)' or again, more simply '??term_of_interest'.",,,,,,,,,,,,,
question,View the help file for the 'sqrt' function now. Use the shorthand version I just showed you. Notice the help file that pops up. Feel free to spend a few minutes checking it out. You'll get more comfortable with R help files as you gain more experience using them.,command,,?sqrt,Do not include parentheses or variable names when accessing help files. Just type '?FunctionName'.,,,,,,,,,
text,"In addition to R's built-in functions, R also contains many built-in data sets that you may easily access and use. I will use one unique data set per lesson to help convey the important concepts at hand.",,,"mpg.midsize <- cars$mpgCity[cars$type==""midsize""]",,,,,,,,,,
text,"In this lesson, I will use the same 'cars' data set as the 'OpenIntro Statistics' textbook uses in its first chapter. This data set consists of 54 rows and 6 columns. For each of 54 cars from 1993, the following variables are reported: type (large, midsize, small), price (USD), city miles per gallon (MPG), drive train (4WD, front, rear), passengers, and weight (lbs.).",,,,,,,,,,,,,
question,Type 'cars' now to view the entire data set. You'll see that each row represents one car and each column holds one of the variables we just discussed above. You already saw the contents of the 'type' variable when you entered 'cars$type'.,command,,cars,Just type 'cars' and press Enter.,,,,,,,,,
text,"I chose this data set for a few reasons. To effectively convey the key concepts of this section, I wanted a data set that was neither too large nor too small, and one that had at least two CONTINUOUS VARIABLES and one DISCRETE or CATEGORICAL VARIABLE.",,,,,,,,,,,,,
text,"A CONTINUOUS VARIABLE is one that can assume any value within the scope of the problem. For the 'cars' data set, price, city MPG, and weight are all continuous variables, as there is no inherent restriction on the possible values of each of the three variables (except for negative numbers, of course!)",,,,,,,,,,,,,
text,"On the other hand, a DISCRETE VARIABLE is a variable that may take on one of a limited, and usually fixed, number of possible values. A CATEGORICAL VARIABLE is similar to a discrete variable, however, instead of assuming a fixed value, the variable is ascribed a fixed categorical description. In our 'cars' data set, the number of passengers is a discrete variable, while the type and drive train are examples of categorical variables. Notice that the number of passengers is a discrete variable since the capacity of each car may only be described in whole numbers.",,,,,,,,,,,,,
text,Let's test your knowledge on these different types of variables. Pretend you are going on a walk through town.,,,,,,,,,,,,,
question,The distance you walk would be an example of what type of variable?,multiple,"Continuous
Discrete
Categorical",Continuous,This variable is one that can assume any value within the scope of the problem.,,,,,,,,,
question,The types of buildings you pass along the way would be an example of what type of variable?,multiple,"Continuous
Discrete
Categorical",Categorical,This variable is one that is ascribed a fixed categorical description.,,,,,,,,,
question,The number of people you pass would be an example of what type of variable?,multiple,"Continuous
Discrete
Categorical",Discrete,"This variable is one that may take on one of a limited, and usually fixed, number of possible values.",,,,,,,,,
text,You are now ready to learn about data visualization!,,,,,,,,,,,,,
text,"Before a statistician engages in a thorough analysis of the data set, it is useful to first visualize the data. By organizing the data into a PLOT or GRAPH, a statistician is able to explore and summarize some basic properties of the data set. The discipline of quantitatively describing the main properties of a data set is known as DESCRIPTIVE STATISTICS. In the subsequent sections, I will concurrently introduce techniques for data visualization as well as the related descriptive statistical measures.",,,,,,,,,,,,,
text,"The simplest type of plot is the DOT PLOT, which is used to visually convey the values of one variable. In a dot plot, there is only a horizontal x-axis, and the data points are represented as dots above this axis. Since dot plots effectively display the specific numerical value of one variable for each individual in the data set, it is a particularly useful tool for smaller data sets.",,,,,,,,,,,,,
figure,"Here's a dot plot using the variable 'price' from our 'cars' data set. As you may notice, the price is reported along the x-axis in $1000s, and each point above the axis represents the price of one of the 54 cars in our data set.",,,,,mod1_dotplot.R,new,,,,,,,
question,"When looking at this dot plot, around what price (in $1000s) does there appear to be the highest density of data points?",range,,"7
13",Look at the part of the graph where the dots are the darkest and closest together.,,,,,,,,,
text,"This discussion of the dot plot brings me to our first descriptive statistic, the RANGE of a data set. Just as the name would seem to imply, the range is the difference between the maximum and minimum values of the data set.",,,,,,,,,,,,,
question,"Now that you know what the range measures, take a look back at our dot plot. Using the R-command 'range(cars$price)', determine the exact values for the minimum and maximum of the data set, respectively.",command,,range(cars$price),Type in 'range(cars$price)' and hit enter to see the minimum and maximum prices.,,,,,,,,,
figure,"The first number given is the minimum and the second number given is the maximum. To represent these numbers visually, I've drawn 2 lines on the dot plot. As you can see, the red vertical line on the far left illustrates where the minimum value lies. The red vertical line on the far right illustrates where the maximum value lies. The range of the data is defined as the distance between these two red lines.",,,,,mod1_dotplot_add.R,addition,,,,,,,
text,"One of the most common descriptive statistics is a MEASURE OF CENTRAL TENDENCY. For a specific data set, CENTRAL TENDENCY seeks to locate a central value or a typical value for a certain variable. It may also be referred to as the AVERAGE or the CENTER of the data. The most common measures of central tendency are the MEAN, MEDIAN, and MODE of a set of data. In the next few sections, I will continue to introduce different types of plots and show you how to calculate and visualize these measures of central tendency.",,,,,,,,,,,,,
video,"Would you like to watch a brief YouTube video on mean, median, and mode?",,,,,,,http://youtu.be/h8EYEJ32oQ8,,,,,,
text,"The ARITHMETIC MEAN, or simply just the MEAN or AVERAGE, is the most common measurement of the center of the data. To calculate the mean, you must first sum all of the values of interest, and then divide that sum by the total number of values used in the sum.",,,,,,,,,,,,,
question,"Using the R-command 'sum(cars$price)', can you tell me the sum of the prices of the 54 cars in the data set?",command,,sum(cars$price),Type in 'sum(cars$price)'.,,,,,,,,,
question,"Now divide this number, using the '/' symbol as the division operator, by the total number of values in the data subset. What is this value?",exact,,19.99259,"Divide 1,079.6 by 54.",,,,,,,,,
question,"Now you understand the process for calculating the mean. Fortunately for you, R contains a built-in function to automatically complete this process for you. Try typing the R-command 'mean(cars$price)'.",command,,mean(cars$price),Just type mean(cars$price) and hit enter.,,,,,,,,,
text,"Notice that this value, 19.99259, is exactly the same as what you got above when computing the mean on your own without using the mean() function!",,,,,,,,,,,,,
text,"Our second measure of central tendency is known as the MEDIAN. Just as the name would imply, the median is the 'middle value' of the data set.",,,,,,,,,,,,,
text,"To illustrate how to find the median, we will turn our attention to the miles per gallon ('mpgCity') data, since these data are nice round numbers.",,,,,,,,,,,,,
question,"I have stored the values of the 'mpgCity' variable for ONLY midsize vehicles in a new variable called 'mpg.midsize', which you can view by typing 'mpg.midsize' below. Try it now.",command,,mpg.midsize,,,,,,,,,,
question,"In R, you may organize your data values from least to greatest using the 'sort' function. Try using the command 'sort(mpg.midsize)' to sort the values stored in 'mpg.midsize'.",command,,sort(mpg.midsize),,,,,,,,,,
question,Try assigning 'sort(mpg.midsize)' to a new variable called 'mpg.sorted' by using the assignment operator we introduced earlier.,command,,mpg.sorted <- sort(mpg.midsize),Type 'mpg.sorted <- sort(mpg.midsize)',,,,,,,,,
text,"When the total number of values is odd, finding the median, or 'middle' value, is quite easy. However, if the total number of values is even, there is no middle value amongst the actual data. In this case, you must calculate the average of the two middle values amongst the data points. In other words, in the case of an even number of values, the MEDIAN is reported as the MEAN of the two middle values of the data set.",,,,,,,,,,,,,
question,"Just by looking at the sorted data you generated above, what do you think the median is?",exact,,19,"Remember that since we have an even number of values here, the MEDIAN is just the MEAN of the two middle values.",,,,,,,,,
text,"Even though we have an even number of data points, and thus two middle values, both middle values are 19, so their average is also 19.",,,,,,,,,,,,,
text,"Now that you understand what goes on behind the scenes to compute the median of a data set, I'll show you a quicker way to get the same answer using the R command 'median'. And the nice thing about doing it this way is that we don't need to sort the data beforehand.",,,,,,,,,,,,,
question,Try computing the median of our original unsorted 'mpg.midsize' by using R's built-in 'median' function.,command,,median(mpg.midsize),"If we wanted the median of 'x', we would type 'median(x)'.",,,,,,,,,
text,"Now you have learned about the RANGE, MEAN, and MEDIAN of a data set, and how to calculate the value of each using simple R-commands.",,,,,,,,,,,,,
question,"Another helpful command in R is the 'summary' command. As you will see, this command reports the values for the minimum, median, mean, and maximum of a particular data set. For now, just ignore the values labeled '1st Qu.' and '3rd Qu.', as we will get to those shortly! Try typing 'summary(cars$mpgCity)' to see exactly what it does.",command,,summary(cars$mpgCity),"If we wanted the summary of 'x', we would type 'summary(x)'.",,,,,,,,,
text,Let us continue with other types of plots!,,,,,,,,,,,,,
text,"A HISTOGRAM is similar to a dot plot, but instead of showing every specific value, it partitions the values of your data into several bins, providing a more condensed representation of the data. Taller bars signify the range of values in which the majority of the data is located, whereas shorter bars represent a range of values in which fewer data points are located. In other words, histograms provide a view of the DATA DENSITY.",,,,,,,,,,,,,
video,Would you like to watch a brief YouTube video on histograms?,,,,,,,http://youtu.be/4eLJGG2Ad30,,,,,,
figure,"Here I have created a histogram using the miles per gallon data for ALL of our cars, not just the midsize ones that we worked with above. As you may notice, the values of the MPG along the x-axis are partitioned into bins with a range of 5. The second bin, for example, groups together all of the cars that get 21-25 MPG in the city, and so forth. Note that the bin to the left of this contains the cars with 20 MPG since this value cannot be counted in both bins. The frequency of values in each bin, or the number of cars in each of the intervals, is reported along the y-axis.",,,,,mod1_histogram.R,new,,,,,,,
question,"By simply looking at this histogram, can you tell me which MPG interval has the highest frequency of values? For example, the lowest frequencies of values occur in the intervals 36-40, 41-45, and 46-50.",multiple,"16-20
21-25
26-30
31-35
36-40
41-45
46-50",16-20,Look for the bin values corresponding to the tallest bar in the histogram.,,,,,,,,,
question,How many cars get 16-20 MPG in the city?,exact,,25,Look at the highest value on the y-axis that the '16-20' bar reaches.,,,,,,,,,
figure,A red line has been drawn on our histogram illustrating the previous answer.,,,,,mod1_histogram_add.R,addition,,,,,,,
text,"A special type of histogram is known as a STEM-AND-LEAF PLOT. This plot organizes numerical data in order of decimal place value. The left-hand column of the plot contains the STEMS, or the numerical values of the tens digit for each of the data points, organized vertically in increasing order. The LEAVES are located in the right-hand column of the plot and are the values of the ones digit for each data point of the corresponding stem, organized horizontally in increasing order. In a stem-and-leaf plot, the number of leaves is equal to the number of items in the data set. The easiest way to understand a stem-and-leaf plot is to see one!",,,,,,,,,,,,,
video,Would you like to watch a brief YouTube video on stem-and-leaf plots?,,,,,,,http://youtu.be/OaJXJduRiIE,,,,,,
figure,"I have created a stem-and-leaf plot above using the same values for the 'mpgCity' variable as we just used for our histogram. As you can see, a stem-and-leaf plot is a useful type of histogram if you want to see the frequencies of specific values of the data. Often, there will only be one bin per tens digit, but in this case, R gives us the same bins as we saw in our histogram.",,,,,mod1_stem.R,new,,,,,,,
text,"Now is a perfect time to introduce our last measure of central tendency, the MODE. The mode of a data set is the value that occurs most frequently.",,,,,,,,,,,,,
question,"By looking at the stem-and-leaf plot above, what is the mode of the MPG?",exact,,19,"Look for which number ""repeats"" the most in the stem-and-leaf plot.",,,,,,,,,
text,"The measures of central tendency are very useful in briefly summarizing a data set, and finding the best representation of the central or average value of a data set. These are not the sole measures used to describe a data set, however. It is possible for very different data sets to exhibit the exact same values for their measures of central tendency. 'How is this possible?' you might ask. Well, let's take a look!",,,,,,,,,,,,,
text,"Another important property specific to each data set is a measure of how spread out or clustered the data values are. This is known as DISPERSION or VARIABILITY. Three measures of variability are interquartile range, variance, and standard deviation.",,,,,,,,,,,,,
text,"A BOX PLOT, also called a BOX-AND-WHISKER PLOT, is used to summarize the main descriptive statistics of a particular data set and will help illustrate the concept of variability. Remember that the R-command 'summary(cars$price)' returned values for the minimum, median, mean, and maximum of a data set, as well as two other items, which I promised to teach you about later on? Well, a box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set.",,,,,,,,,,,,,
video,Would you like to watch a brief YouTube video on box-and-whisker plots?,,,,,,,http://youtu.be/BXq5TFLvsVw,,,,,,
figure,"Here I have created a box plot to represent the price data for each of the three car types: large, midsize, and small. You'll notice that each of the 3 figures is composed of a closed 4-sided ""box"" with ""whiskers"" on the top and bottom, hence the name box-and-whisker plot.",,,,,mod1_boxplot.R,new,,,,,,,
text,"The height of each box is referred to as the INTERQUARTILE RANGE (IQR). The more variability within the data, the larger the IQR. On the other hand, less variability within the data means a smaller IQR. The bottom of the box in the box plot corresponds to the value of the first quartile (Q1), and the top of the box corresponds to the value of the third quartile (Q3). To calculate the value of the IQR, simply subtract the value of Q1 from that of Q3.",,,,,,,,,,,,,
text,"The whiskers, or lines, that extend above and below each box represent roughly the upper 25% and lower 25% of data points, respectively. The only exception is when there are outliers, which I'll explain shortly.",,,,,,,,,,,,,
question,"Looking at the box plot, what is the approximate interquartile range for the midsize vehicles?",range,,"16
20",Subtract the Q1 value from the Q3 value. The Q1 value is the minimum value contained in the box and the Q3 value is the maximum value contained in the box.,,,,,,,,,
text,"Let's take a closer look at how quartiles are calculated. We start by sorting the data from least to greatest, just like when calculating the median. The first quartile (Q1), also known at the 25th PERCENTILE (since 25% of the data points fall at or below this value), is simply the median of the first half of the sorted data. Likewise, the third quartile (Q3), also known as the 75th percentile, is the median of the second half of the sorted data.",,,,,,,,,,,,,
figure,"As shown in this plot, the blue horizontal line illustrates how to find the value for the first quartile. The green horizontal line illustrates how to find the value for the third quartile. The interquartile range is the range of data values that is contained in between these two lines.",,,,,mod1_boxplot_add.R,addition,,,,,,,
figure,"Look again at our box plot of price vs. car type. You may be thinking to yourself, 'What is that circle above the box plots for the midsize cars, and why is there no circle above the box plot for the large cars?' Those circles represent OUTLIERS in the data set. An OUTLIER is an observation that is unusual or extreme relative to the other values in the data set. Outliers are useful in identifying a heavy skew in a distribution, and may signify a data collection or data entry error to a scientist. There are many different conventions for identifying outliers within a data set.",,,,,mod1_boxplot.R,new,,,,,,,
question,"When looking at the box plot, which car types appear to have outliers? Separate your answers with a comma.",text,,"small, midsize
midsize, small
small,midsize
midsize,small",Look for the types of cars that correspond to the box plots with circles above or below them.,,,,,,,,,
text,"Since we have finished our introduction to the interquartile range, we will now take a look at the two other values used when describing the spread of the data: variance and standard deviation. Mathematically, VARIANCE is the average of the squared differences from the mean. Don't worry if you find this a little confusing. Intuitively, variance just represents the total distance of the data from the mean of the data.",,,,,,,,,,,,,
text,"A low variance indicates that the data points tend to be located near the mean value, while a high variance indicates that the data points are spread further from the mean.",,,,,,,,,,,,,
text,"A more conventional measure of variability is the STANDARD DEVIATION, which is calculated as the square root of the variance. Statisticians typically refer to standard deviation because it is expressed in the same units as the original data values. If you are interested in the details of how variance and standard deviation are calculated, I recommend taking a look at the following video.",,,,,,,,,,,,,
video,Would you like to watch a brief YouTube video on variance and standard deviation?,,,,,,,http://youtu.be/E4HAYd0QnRc,,,,,,
question,"Using the R command 'sd()', calculate the standard deviation of the data subset entitled 'mpg.midsize'.",command,,sd(mpg.midsize),"If you wanted the sd of 'x', you would type 'sd(x)'.",,,,,,,,,
question,"Now that you have calculated the standard deviation of this data, can you tell me what is the variance of the data? To square a quantity in R, the notation is 'quantity^2', where the '^' symbol means 'to the power of'.",exact,,3.593072,Variance is the standard deviation squared.,,,,,,,,,
text,"To demonstrate differences in variability, I will again refer to the box plot of car type vs. price.",,,,,,,,,,,,,
figure,"As you can see in the box plot, the data for prices of 'midsize' cars vary from around 15 to 62, encompassing a range of approximately 50. This is a great deal larger than the variation for 'small' cars which range from around 5 to 15, encompassing a range of approximately 10. Therefore, since the range is much greater for 'midsize' cars, prices of 'midsize' cars have much higher variability in comparison to the prices of 'small' cars.",,,,,mod1_boxplot.R,new,,,,,,,
question,Now it is your turn! Is the variability of prices of cars of type 'large' higher or lower than that of cars of type 'small'?,text,,higher,Look to see if the range of cars of type 'large' is greater or less than that of cars of type 'small'.,,,,,,,,,
text,"While dispersion measures the variability from the mean in a data set, another important property is the shape of the distribution of the data. We will learn much more about distributions in one of my subsequent lessons, but for now just think of DISTRIBUTION as a histogram.",,,,,,,,Get feedback from Brian on our mention of distribution.,,,,,
text,"Histograms are particularly useful in viewing and describing the shape of the distribution of the data. A distribution of data may have a left skew, a right skew, or no skew at all. SKEWNESS is a measure of the extent to which the distribution of the data 'leans' to one side or the other.",,,,,,,,,,,,,
figure,"A distribution that has a left skew is one in which the left TAIL of the plot is longer. In other words, on a histogram the majority of the distribution is located to the right of the mean. This distribution is also said to be left-skewed. When a distribution is left-skewed, the value of the MEAN is less than that of the MEDIAN, and thus the MEAN is located further to the left of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",,,,,mod1_leftskew.R,new,,,,,,,
figure,"On the other hand, a distribution that has a right skew is one in which the right tail is longer, such that the majority of the data falls to the left of the mean, when viewed on the histogram. This distribution is said to be right-skewed. When a distribution is right-skewed, the value of the MEAN is greater than that of the MEDIAN, and thus the MEAN is located further to the right of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",,,,,mod1_rightskew.R,new,,,,,,,
figure,"A plot that has no skew is one in which the tails on both sides of the mean balance out, and is referred to as symmetric. When a distribution is symmetric, the MEAN and MEDIAN are approximately equal in value. In this plot, the green line represents the median and the blue line represents the mean. The green line is the only one visible since the mean and median are so close to the same value.",,,,,mod1_symmetric.R,new,,,,,,,
figure,"Let's take a look back at the histogram we made earlier, which represents the distribution of the values for city MPG for each of the 54 cars from our 'cars' data set.",,,,,mod1_histogram.R,new,,,,,,,
question,How would you classify the shape of the distribution represented by this histogram?,multiple,"Symmetric
Right-skewed
Left-skewed",Right-skewed,Look to see which tail extends further. The plot is said to be skewed in that direction.,,,,,,,,,
question,"Referring to the same histogram, and keeping in mind your answer to the previous question, would you expect the MEDIAN to be greater than, less than, or equal to the MEAN?",multiple,"Greater than
Less than
Equal to",Less than,Keep in mind that data points that create a plot's long tail will tend to 'pull' the mean in that direction. The median is not affected by how far away the data points are.,,,,,,,,,
text,"Up to this point, I have covered useful techniques to visualize numerical, or continuous variables, but what about categorical variables? Well, one useful way to display a single categorical variable is via a BAR GRAPH, in which the various categories lie on the x-axis and the numerical values corresponding to each category lie on the y-axis.",,,,,,,,,,,,,
figure,"Here is a BAR GRAPH representing the average price for each of the three car types: large, midsize, and small. Because there are numerous data points within each category, the height of each bar is the MEAN price ($1000s) of all of the cars within that category.",,,,,mod1_bargraph.R,new,,,,,,,
question,"According to the bar graph, which car type is the most expensive, on average? Which is the least expensive, on average? Answer the two questions in the same order with a comma separating the two answers.",text,,"midsize, small",Look at the corresponding car type for the tallest bar to determine which car is the most expensive. Look at the corresponding car type for the shortest bar to determine which car is the least expensive.,,,,,,,,,
figure,The 'midsize' bar has been highlighted green and is the most expensive on average. The 'small' bar has been highlighted blue and is the least expensive on average.,,,,,mod1_bargraph_add.R,addition,,,,,,,
question,"According to the bar graph, what is the average price for a 'large' car (in $1000s)?",range,,"22
26","Look at the highest value on the y-axis that the ""large"" bar reaches.",,,,,,,,,
figure,The red horizontal line added to the plot illustrates how to find your previous answer.,,,,,mod1_bargraph_add1.R,addition,,,,,,,
text,"Up until now, every plot I have introduced has involved only one variable. But what if you are trying to analyze two variables? A SCATTER PLOT provides a comparative view of data for two numerical variables, with one on the x-axis and the other on the y-axis. This type of a plot is useful because it allows you to see whether two variables are related and to what degree.",,,,,,,,,,,,,
figure,Here's an example of a scatter plot.,,,,,mod1_scatter.R,new,,,,,,,
question,"Of the three variables discussed previously: continuous, discrete, and categorical, which do you think would be most appropriate to use in a scatter plot?",multiple,"Continuous
Discrete
Categorical",Continuous,Think about which of the three variable types has an indefinite number of possible values.,,,,,,,,,
text,"To conclude this module, you are going to revisit all of the different types of plots I have discussed. After each plot appears, try your best to classify it. You will be amazed to see how much you have learned already!",,,,,,,,,,,,,
figure,Here's your first plot.,,,,,mod1_bargraph.R,new,,,,,,,
question,Which type of plot is shown here?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Bar graph,This type of graph is used to display a single categorical variable.,,,,,,,,,
figure,Here's another.,,,,,mod1_scatter.R,new,,,,,,,
question,Which type of plot is shown here?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Scatter plot,This type of plot is used to show the relationship between two continuous variables.,,,,,,,,,
figure,And another.,,,,,mod1_dotplot.R,new,,,,,,,
question,Which type of plot is shown here?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Dot plot,This type of plot is used to visually convey the values of one variable using only one axis.,,,,,,,,,
figure,Just a few more.,,,,,mod1_histogram.R,new,,,,,,,
question,Which type of plot is shown here?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Histogram,This type of plot partitions the values of your data into several bins.,,,,,,,,,
figure,Keep going.,,,,,mod1_boxplot.R,new,,,,,,,
question,Which type of plot is shown here?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Box plot,This type of plot is used to summarize the main descriptive statistics of a particular data set.,,,,,,,,,
figure,Last one!,,,,,mod1_stem.R,new,,,,,,,
question,Which type of plot is shown above?,multiple,"Dot plot
Histogram
Stem-and-leaf plot
Bar graph
Box plot
Scatter plot",Stem-and-leaf plot,This type of plot organizes numerical data in order of decimal place value.,,,,,,,,,
text,CONGRATULATIONS! You've completed your first lesson! I look forward to having you back for many more in the future.,,,,,,,,,,,,,
