Output.Type,Output,Status,Answer.Type,Choices,Correct.Answer,Hint,Figure,Figure.Type,Video,Tag,Notes,,,,,
question,How many cars get 16-20 MPG in the city?,mandatory,exact,,25,Look at the highest value on the y-axis that the '16-20' bar reaches.,,,,histogram,,,,,,
question,How many cars get 31-35 MPG in the city?,optional,range,,2; 5,Look at the highest value on the y-axis that the '31-35' bar reaches.,,,,histogram,,,,,,
figure,A red line has been drawn on our histogram illustrating the previous answer.,,,,,,mod1_histogram_add.R,addition,,histogram,,,,,,
text,"Histograms are particularly useful in viewing and describing the shape of the distribution of the data. A distribution of data may have a left skew, a right skew, or no skew at all. SKEWNESS is a measure of the extent to which the distribution of the data 'leans' to one side or the other. ",,,,,,,,,classifying shape of a distribution,,,,,,
figure,"A distribution that has a left skew is one in which the left TAIL of the plot is longer. In other words, on a histogram the majority of the distribution is located to the right of the mean. ",,,,,,mod1_leftskew.R,new,,classifying shape of a distribution,,,,,,
text,"When a distribution is left-skewed, the value of the MEAN is less than that of the MEDIAN, and thus the MEAN is located further to the left of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",,,,,,,,,classifying shape of a distribution,,,,,,
figure,"On the other hand, a distribution that has a right skew is one in which the right tail is longer, such that the majority of the data falls to the left of the mean, when viewed on the histogram.",,,,,,mod1_rightskew.R,new,,classifying shape of a distribution,,,,,,
text,"When a distribution is right-skewed, the value of the MEAN is greater than that of the MEDIAN, and thus the MEAN is located further to the right of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",,,,,,,,,classifying shape of a distribution,,,,,,
figure,"A plot that has no skew is one in which the tails on both sides of the mean balance out, and is referred to as symmetric. When a distribution is symmetric, the MEAN and MEDIAN are approximately equal in value. ",,,,,,mod1_symmetric.R,new,,classifying shape of a distribution,,,,,,
text,"In this plot, the green line represents the median and the blue line represents the mean. The green line is the only one visible since the mean and median are close to the same value.",,,,,,,,,classifying shape of a distribution,,,,,,
figure,"Now, let's take a look back at the histogram we made earlier, which represents the distribution of the values for city MPG for each of the 54 cars from our 'cars' data set. ",,,,,,mod1_histogram.R,new,,classifying shape of a distribution,,,,,,
question,How would you classify the shape of the distribution represented by this histogram?,mandatory,multiple,Symmetric; Right-skewed; Left-skewed,Right-skewed,"Look to see which end of the tail extends longer. The data will be skewed in that direction. Or, look to see whether the tails extend to relatively the same length on each side.",,,,classifying shape of a distribution,,,,,,
question,"If the majority of the data were on the right side of this histogram rather than the left, then how would you classify the shape of the distribution?",optional,multiple,Symmetric; Right-skewed; Left-skewed,Left-skewed,Look to see which side of the histogram has the majority of the data: left or right. The data will then be classified as skewed in the opposite direction.,,,,classifying shape of a distribution,,,,,,
question,"Referring to the histogram above, and keeping in mind the real shape of the distribution, would you expect the MEDIAN to be greater than, less than, or equal to the MEAN?",mandatory,multiple,Greater than; Less than; Equal to,Less than,Reread above to figure out what the value of the median is in comparison to the mean when a distribution is right-skewed.,,,,classifying shape of a distribution,,,,,,
question,"If the data were left-skewed, on which side of the histogram would you expect the tail to extend longer?",optional,multiple,Left; right; neither,Left,The tail extends longer in the direction of the skew.,,,,classifying shape of a distribution,,,,,,
text,"A special type of histogram is known as a STEM-AND-LEAF PLOT. This plot organizes numerical data in order of decimal place value. The left-hand column of the plot contains the STEMS, or the numerical values of the tens digit for each of the data points, organized vertically in increasing order. The LEAVES are located in the right-hand column of the plot and are the values of the ones digit for each data point of the corresponding stem, organized horizontally in increasing order. ",,,,,,,,,stem-and-leaf plot,,,,,,
text,"In a stem-and-leaf plot, the number of leaves is equal to the number of items in the data set. The easiest way to understand a stem-and-leaf plot is to see one!",,,,,,,,,stem-and-leaf plot,,,,,,
video,Would you like to watch a brief YouTube video on stem-and-leaf plots?,,,,,,,,http://youtu.be/OaJXJduRiIE,stem-and-leaf plot,,,,,,
figure,"I have created a stem-and-leaf plot above using the same values for the 'mpgCity' variable as we just used for our histogram. As you can see, a stem-and-leaf plot is a useful type of histogram if you want to see the frequencies of specific values of the data. Often, there will only be one bin per tens digit, but in this case, R gives us the same bins as we saw in our histogram.",,,,,,mod1_stem.R,new,,stem-and-leaf plot,,,,,,
question,"Demonstrated on this stem-and-leaf plot, how many occurences of the value '22' are there in this particular data set?",mandatory,exact,,4,,,,,stem-and-leaf plot,,,,,,
question,Which two values have a frequency of two?,optional,multiple,"16, 28; 42, 46; 28, 31; 16, 19","28, 31",,,,,stem-and-leaf plot,,,,,,
figure,"The final plot that can be used for discrete or continuous variables is known as the BOX PLOT, also called a BOX-AND-WHISKER PLOT. As you previously learned, this plot is used to summarize the main descriptive statistics of a particular data set and help illustrates the concept of variability. I have created a box-and-whisker plot so that you can be reminded of what it looks like.",,,,,,mod1_boxplot.R,new,,R-command,,,,,,
question,"A box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set. The R-command 'summary(cars$price)' returns values for these main descriptive statistics. Try this now.",mandatory,command,,summary(cars$price),,,,,R-command,,,,,,
question,Try running the 'summary' command on the data for 'cars$mpgCity'. ,optional,command,,summary(cars$mpgCity),,,,,R-command,,,,,,
text,"Up until now, every plot I have introduced has involved only one continous or discrete variable.But what if you are trying to analyze a categorical variable or two variables? In the next module, we will learn about the plots that are used for categorical variables and multiple variables. If you aren't sure what the difference is between continous, discrete, and categorical variables don't worry because we will discuss this in the next module. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
